,datetime,ppm,temp,rh,ppm_std,ppm_kurt,temp_std,temp_kurt,rh_std,rh_kurt,class
0,2021-11-08 08:00:00,402.0900000000001,27.11000000000001,70.30846153846154,42.118596082965546,-0.07152677862824408,0.023999999999997815,2.711730072461657,0.30768415373811786,1.0530933487933125,3.0
1,2021-11-08 08:10:00,432.94962962962967,27.12592592592592,70.95037037037035,26.37767711261834,2.8668345086114844,0.020987039821184706,-0.9074862810005659,0.1792394505313453,-0.3165169747983856,3.0
2,2021-11-08 08:20:00,395.33291666666673,27.197083333333342,71.47291666666668,33.73443518439498,-0.8930710579104386,0.03141298079327617,-1.0353697578920267,0.2501561106791992,2.790882917014289,3.0
3,2021-11-08 08:30:00,392.2592592592592,27.273703703703692,71.6611111111111,33.49994557124466,-0.39519706188184367,0.021688023662157,-0.40979086881229465,0.12944655366756774,3.8414265751656975,3.0
4,2021-11-08 08:40:00,405.088076923077,27.359230769230763,71.66192307692307,35.28795670131449,0.4404091239673136,0.03404973737615208,-1.3878412696871711,0.10601959180337092,-0.647881555315271,3.0
5,2021-11-08 08:50:00,375.29920000000004,27.46960000000001,71.6928,37.14414914895748,-0.17591695942013752,0.015937377450508144,0.5511516951887949,0.12927747934836245,0.7308519336249661,3.0
6,2021-11-08 09:00:00,318.42962962962963,27.531111111111116,71.58962962962964,44.70531748456788,-0.06031682343130962,0.030676141234285203,-1.1775660967118045,0.14862139512304,-1.0982624327077262,3.0
7,2021-11-08 09:10:00,305.50115384615367,27.65346153846155,71.2653846153846,27.506288928450235,-0.5995147984546998,0.0528350117018839,-1.22744057633235,0.07151116104389539,1.3935174232625216,3.0
8,2021-11-08 09:20:00,321.59407407407406,27.83444444444444,71.2174074074074,30.385691503537444,-1.4483765160978914,0.05017916617430568,-1.0443618949646933,0.10234153200822367,0.3888817457990008,3.0
9,2021-11-08 09:30:00,364.9619999999999,28.025000000000006,70.97700000000002,64.07522187981378,-1.0635882157777612,0.043588989435405914,-0.6377823326440772,0.19333908037435615,-0.5975479182295169,2.0
10,2021-11-08 09:40:00,523.8823076923076,28.200384615384607,70.60423076923078,77.93441664926698,7.06826880592633,0.06890461634641194,-1.1771683907972568,0.08936097926603402,0.8389624619276721,2.0
11,2021-11-08 09:50:00,573.8165384615384,28.405384615384612,70.4226923076923,26.759962771619502,-0.22259710660455,0.03635720222797739,0.21578532447505472,0.15860788611686852,0.6395552314650561,2.0
12,2021-11-08 10:00:00,580.3151851851849,28.511851851851848,69.62074074074073,21.39775875581551,2.1703494202276508,0.04446580683185652,-1.4863599000074168,0.2685563388239215,-0.9316252504023845,3.0
13,2021-11-08 10:10:00,582.0440000000001,28.612399999999997,68.7128,25.948497066304256,1.0364535202279486,0.042649736224271394,-1.1602653414561392,0.23417443640726804,-0.5594469588639153,3.0
14,2021-11-08 10:20:00,582.1733333333334,28.803333333333335,68.06481481481481,28.66498628050496,-1.10762085460357,0.06220314115244603,-1.132437502223239,0.206441840764481,-0.7824035565625542,3.0
15,2021-11-08 10:30:00,643.8403846153846,28.99153846153845,68.02653846153848,78.37134897298984,0.3915530833824694,0.04351480738252724,0.40061754563879637,0.1726717650964927,-0.514954444468823,1.0
16,2021-11-08 10:40:00,693.495,29.03,67.785,8.831763697019985,0.3915530833824694,0.0,0.40061754563879637,0.0777817459305148,-0.514954444468823,1.0
17,2021-11-09 07:00:00,384.6414814814815,27.31111111111111,67.24185185185186,23.53742612287991,0.5321720726722758,0.04618802153517026,-1.5385456730769018,0.03731745694166009,-1.0125681651984046,1.0
18,2021-11-09 07:10:00,382.6519230769232,27.46807692307692,67.12076923076923,17.56459530287692,3.7145355846835026,0.033468699498992914,-0.47785069833735694,0.05106255590336946,1.365164093639144,2.0
19,2021-11-09 07:20:00,387.16629629629637,27.69555555555555,67.03888888888889,17.3854711995939,1.2550793749944757,0.0710001805703742,-1.0540133334851314,0.14616464197644224,1.6558871527942616,3.0
20,2021-11-09 07:30:00,379.1588461538462,27.925384615384612,66.46307692307693,22.17017209259741,-0.2794299307737971,0.05893934300487483,-0.8782439014455612,0.17662999135524743,0.4983780295747149,3.0
21,2021-11-09 07:40:00,357.6655555555556,28.080740740740744,65.8488888888889,18.321799612091635,-0.0908778603786149,0.0753415773418206,-1.272610996671991,0.1090988730581801,0.6351561738625602,3.0
22,2021-11-09 07:50:00,347.7792307692307,28.28653846153846,65.49,20.962814300198712,-0.11323102135317109,0.08054525722560353,-0.2924598357538932,0.3493765876529228,0.3487010985633274,3.0
23,2021-11-09 08:00:00,333.03153846153845,28.36192307692307,65.21307692307691,19.072247417083844,-0.20189889614984624,0.029396493773132405,-1.3135410105637582,0.09502712163458321,-0.6710534063118514,3.0
24,2021-11-09 08:10:00,326.22450000000003,28.437,65.08500000000001,24.67216041891837,-1.1907718277112496,0.022028689427535907,-0.45344815289764906,0.08994150145628861,-0.45251453677457,3.0
25,2021-11-09 08:20:00,326.22450000000003,28.437,65.08500000000001,24.67216041891837,-1.1907718277112496,0.022028689427535907,-0.45344815289764906,0.08994150145628861,-0.45251453677457,3.0
26,2021-11-09 08:30:00,390.50640000000004,28.84,64.9028,30.74901107894909,0.1851669918359251,0.0665832811847943,-1.1154899194850145,0.0668031935364266,-1.0299810798000588,3.0
27,2021-11-09 08:40:00,391.0292592592593,29.03592592592594,64.53037037037036,28.600105557353064,-1.877210910753378,0.03618959256038407,-0.6062030713106421,0.15230236832043176,-0.1947107387797926,3.0
