datetime,ppm,temp,rh,ppm_std,ppm_kurt,temp_std,temp_kurt,rh_std,rh_kurt,class
2021-11-08 09:57:30,519.82,28.43,70.1,14.721963184303876,0.0,0.0,0.0,0.042426406871194464,0.0,2.0
2021-11-08 09:58:00,586.21,28.42,70.17,14.721963184303876,0.0,0.0,0.0,0.042426406871194464,0.0,2.0
2021-11-08 09:58:30,586.21,28.41,70.435,0.0,0.0,0.0,0.0,0.06363961030679169,0.0,2.0
2021-11-08 09:59:00,528.73,28.41,70.18,0.0,0.0,0.0,0.0,0.06363961030679169,0.0,2.0
2021-11-08 09:59:30,586.21,28.43,70.21,0.0,0.0,0.0,0.0,0.06363961030679169,0.0,2.0
2021-11-08 10:00:00,577.0699999999998,28.455,70.055,42.36983832869794,0.0,0.02121320343559597,0.0,0.16263455967291374,0.0,2.0
2021-11-08 10:00:30,586.21,28.46,69.79,42.36983832869794,0.0,0.02121320343559597,0.0,0.16263455967291374,0.0,3.0
2021-11-08 10:01:00,528.73,28.45,69.67,42.36983832869794,0.0,0.02121320343559597,0.0,0.16263455967291374,0.0,3.0
2021-11-08 10:01:30,557.47,28.45,69.92,40.644497782602755,0.0,0.0,0.0,0.0,0.0,3.0
2021-11-08 10:02:00,586.21,28.47,69.96,40.644497782602755,0.0,0.0,0.0,0.0,0.0,3.0
2021-11-08 10:02:30,607.03,28.48,69.88,40.644497782602755,0.0,0.0,0.0,0.0,0.0,3.0
2021-11-08 10:03:00,586.21,28.485,69.755,0.0,0.0,0.0070710678118640685,0.0,0.12020815280170925,0.0,3.0
2021-11-08 10:03:30,586.21,28.49,69.72,0.0,0.0,0.0070710678118640685,0.0,0.12020815280170925,0.0,3.0
2021-11-08 10:04:00,607.03,28.49,69.8,0.0,0.0,0.0070710678118640685,0.0,0.12020815280170925,0.0,3.0
2021-11-08 10:04:30,586.21,28.505000000000006,69.725,0.0,0.0,0.0070710678118653236,0.0,0.0070710678118640685,0.0,3.0
2021-11-08 10:05:00,576.13,28.53,69.58,0.0,0.0,0.0070710678118653236,0.0,0.0070710678118640685,0.0,3.0
2021-11-08 10:05:30,586.21,28.53,69.59,0.0,0.0,0.0070710678118653236,0.0,0.0070710678118640685,0.0,3.0
2021-11-08 10:06:00,557.47,28.54,69.455,40.644497782602755,0.0,0.0,0.0,0.19091883092037507,0.0,3.0
2021-11-08 10:06:30,586.21,28.54,69.48,40.644497782602755,0.0,0.0,0.0,0.19091883092037507,0.0,3.0
2021-11-08 10:07:00,586.21,28.55,69.5,40.644497782602755,0.0,0.0,0.0,0.19091883092037507,0.0,3.0
2021-11-08 10:07:30,586.21,28.565,69.36,0.0,0.0,0.0070710678118653236,0.0,0.014142135623738184,0.0,3.0
2021-11-08 10:08:00,586.21,28.57,69.21,0.0,0.0,0.0070710678118653236,0.0,0.014142135623738184,0.0,3.0
2021-11-08 10:08:30,586.21,28.56,69.32,0.0,0.0,0.0070710678118653236,0.0,0.014142135623738184,0.0,3.0
2021-11-08 10:09:00,586.21,28.57,69.23,0.0,0.0,0.0070710678118653236,0.0,0.014142135623738184,0.0,3.0
2021-11-08 10:09:30,586.21,28.565,69.245,0.0,0.0,0.0070710678118653236,0.0,0.07778174593052485,0.0,3.0
2021-11-08 10:10:00,586.21,28.57,69.19,0.0,0.0,0.0070710678118653236,0.0,0.07778174593052485,0.0,3.0
2021-11-08 10:10:30,586.21,28.57,69.1,0.0,0.0,0.0070710678118653236,0.0,0.07778174593052485,0.0,3.0
2021-11-08 10:11:00,596.62,28.57,68.875,14.721963184303876,0.0,0.0,0.0,0.03535533905933541,0.0,3.0
2021-11-08 10:11:30,586.21,28.57,68.67,14.721963184303876,0.0,0.0,0.0,0.03535533905933541,0.0,3.0
2021-11-08 10:12:00,586.21,28.57,68.64,14.721963184303876,0.0,0.0,0.0,0.03535533905933541,0.0,3.0
2021-11-08 10:12:30,581.1700000000002,28.575,68.815,7.127636354360387,0.0,0.0070710678118640685,0.0,0.10606601717798617,0.0,3.0
2021-11-08 10:13:00,519.82,28.58,68.67,7.127636354360387,0.0,0.0070710678118640685,0.0,0.10606601717798617,0.0,3.0
2021-11-08 10:13:30,586.21,28.58,68.86,7.127636354360387,0.0,0.0070710678118640685,0.0,0.10606601717798617,0.0,3.0
