406.415,27.107,70.341,36.623,-1.128,0.02,3.214,0.265,0.757,3.0
432.95,27.126,70.95,26.378,2.867,0.021,-0.907,0.179,-0.317,3.0
395.333,27.197,71.473,33.734,-0.893,0.031,-1.035,0.25,2.791,3.0
392.259,27.274,71.661,33.5,-0.395,0.022,-0.41,0.129,3.841,3.0
405.088,27.359,71.662,35.288,0.44,0.034,-1.388,0.106,-0.648,3.0
375.299,27.47,71.693,37.144,-0.176,0.016,0.551,0.129,0.731,3.0
318.43,27.531,71.59,44.705,-0.06,0.031,-1.178,0.149,-1.098,3.0
305.501,27.653,71.265,27.506,-0.6,0.053,-1.227,0.072,1.394,3.0
321.594,27.834,71.217,30.386,-1.448,0.05,-1.044,0.102,0.389,3.0
360.916,28.027,70.992,65.147,-1.121,0.043,-0.57,0.201,-0.589,2.0
523.882,28.2,70.604,77.934,7.068,0.069,-1.177,0.089,0.839,2.0
573.817,28.405,70.423,26.76,-0.223,0.036,0.216,0.159,0.64,2.0
580.315,28.512,69.621,21.398,2.17,0.044,-1.486,0.269,-0.932,3.0
582.044,28.612,68.713,25.948,1.036,0.043,-1.16,0.234,-0.559,3.0
582.173,28.803,68.065,28.665,-1.108,0.062,-1.132,0.206,-0.782,3.0
637.187,28.99,68.036,72.105,1.025,0.043,0.466,0.169,-0.326,1.0
693.495,29.03,67.785,8.832,1.025,0.0,0.466,0.078,-0.326,1.0
384.641,27.311,67.242,23.537,0.532,0.046,-1.539,0.037,-1.013,1.0
382.652,27.468,67.121,17.565,3.715,0.033,-0.478,0.051,1.365,2.0
387.166,27.696,67.039,17.385,1.255,0.071,-1.054,0.146,1.656,3.0
379.159,27.925,66.463,22.17,-0.279,0.059,-0.878,0.177,0.498,3.0
357.666,28.081,65.849,18.322,-0.091,0.075,-1.273,0.109,0.635,3.0
347.779,28.287,65.49,20.963,-0.113,0.081,-0.292,0.349,0.349,3.0
333.032,28.362,65.213,19.072,-0.202,0.029,-1.314,0.095,-0.671,3.0
323.8,28.444,65.08,24.746,-1.596,0.03,0.71,0.088,-0.374,3.0
305.655,28.274,64.945,3.069,-1.261,0.612,1.363,0.249,3.633,3.0
390.506,28.84,64.903,30.749,0.185,0.067,-1.115,0.067,-1.03,3.0
391.029,29.036,64.53,28.6,-1.877,0.036,-0.606,0.152,-0.195,3.0
407.131,29.219,64.548,21.911,0.701,0.064,-0.992,0.102,-1.029,3.0
370.85,29.387,63.991,29.231,-1.065,0.027,-0.19,0.462,-1.9,3.0
368.771,29.466,63.62,26.402,1.73,0.027,-1.661,0.089,-0.984,3.0
424.495,26.968,70.467,27.287,1.526,0.093,-0.14,0.445,0.235,1.0
443.153,26.786,71.512,21.939,2.453,0.033,0.403,0.189,0.654,1.0
447.949,26.908,71.501,22.526,1.382,0.045,-1.404,0.098,-1.102,1.0
